timestamp,log_type,message,stacktrace
0,Warning,Experimental condition on prebloxk beginSIZE_AND_AUDIO. Success True,UnityEngine.Debug:LogWarning (object).  ExperimentSetup:PreBlockBegin (UXF.Block) (at Assets/ExperimentSetup.cs:184).  UnityEngine.Events.UnityEvent`1<UXF.Block>:Invoke (UXF.Block).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:352).  ExperimentSetup:StartSession () (at Assets/ExperimentSetup.cs:160).  ExperimentSetup:Start () (at Assets/ExperimentSetup.cs:68).  
0,Log, [UXF][@alreylz] -> Pre-Bloque #1,UnityEngine.Debug:Log (object).  ExperimentSetup:PreBlockBegin (UXF.Block) (at Assets/ExperimentSetup.cs:190).  UnityEngine.Events.UnityEvent`1<UXF.Block>:Invoke (UXF.Block).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:352).  ExperimentSetup:StartSession () (at Assets/ExperimentSetup.cs:160).  ExperimentSetup:Start () (at Assets/ExperimentSetup.cs:68).  
0,Log,[UFX] OnPreBlockBegin executed for Block 1,UnityEngine.Debug:Log (object).  UXF.Session/<>c:<Begin>b__72_0 (UXF.Block) (at Assets/UXF/Scripts/Session.cs:351).  UnityEngine.Events.UnityEvent`1<UXF.Block>:Invoke (UXF.Block).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:352).  ExperimentSetup:StartSession () (at Assets/ExperimentSetup.cs:160).  ExperimentSetup:Start () (at Assets/ExperimentSetup.cs:68).  
0,Log,ExperimentSetup] EXPERIMENT SESSION WAS STARTED,UnityEngine.Debug:Log (object).  ExperimentSetup:StartSession () (at Assets/ExperimentSetup.cs:171).  ExperimentSetup:Start () (at Assets/ExperimentSetup.cs:68).  
0.3533334,Log,Game View not being shared via websockets.,UnityEngine.Debug:Log (object).  WebsocketGameMonitor:ConfigureGameMonitoring (System.Collections.Generic.Dictionary`2<string bool>System.Collections.Generic.Dictionary`2<string string>) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:213).  WebsocketGameMonitor:OnEnable () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:76).  
0.3533334,Log,Position and rotation aren't being shared via websockets.,UnityEngine.Debug:Log (object).  WebsocketGameMonitor:ConfigureGameMonitoring (System.Collections.Generic.Dictionary`2<string bool>System.Collections.Generic.Dictionary`2<string string>) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:235).  WebsocketGameMonitor:OnEnable () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:76).  
0.3533334,Log,APPLIED MONITORING CONFIGURATION,UnityEngine.Debug:Log (object).  WebsocketGameMonitor:ConfigureGameMonitoring (System.Collections.Generic.Dictionary`2<string bool>System.Collections.Generic.Dictionary`2<string string>) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:238).  WebsocketGameMonitor:OnEnable () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:76).  
0.3533334,Log,GameView monitoring period set to: -1,UnityEngine.Debug:Log (object).  WebsocketGameMonitor:ConfigureGameMonitoring (System.Collections.Generic.Dictionary`2<string bool>System.Collections.Generic.Dictionary`2<string string>) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:239).  WebsocketGameMonitor:OnEnable () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:76).  
0.3533334,Log,PosRot monitoring period set to: -1,UnityEngine.Debug:Log (object).  WebsocketGameMonitor:ConfigureGameMonitoring (System.Collections.Generic.Dictionary`2<string bool>System.Collections.Generic.Dictionary`2<string string>) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:240).  WebsocketGameMonitor:OnEnable () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:76).  
0.3533334,Warning,WebsocketGameMonitor User head Transform to track was not configured in the inspector. Using fallback behavior.,UnityEngine.Debug:LogWarning (object).  WebsocketGameMonitor:Start () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:39).  
0.3533334,Log,loading scene is done,UnityEngine.Debug:Log (object).  AdditiveLoadManager/<>c__DisplayClass1_0:<Start>b__1 (object[]) (at Assets/AdditiveLoadManager.cs:26).  coredamnwork.Executer/<Delayed>d__14:MoveNext () (at Assets/alreylz/Utils/Utils.cs:411).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
0.399473,Log,WebsocketGameMonitor User View Broadcasting halted. Trying again in 4 seconds.,UnityEngine.Debug:Log (object).  WebsocketGameMonitor/<BroadcastUserGameView>d__25:MoveNext () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:341).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  WebsocketGameMonitor:StartMessagingCoroutines () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:161).  WebSocketGameClient:set_WsConnectionStatus (bool) (at Assets/alreylz/Networking/WebSocketGameClient.cs:66).  WebSocketGameClient/<ConnectAndListen>d__29:MoveNext () (at Assets/alreylz/Networking/WebSocketGameClient.cs:148).  System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1<bool>:SetResult (bool).  WebSocketGameClient/<ConnectToWebSocketServerAndConfigure>d__34:MoveNext () (at Assets/alreylz/Networking/WebSocketGameClient.cs:266).  UnityEngine.UnitySynchronizationContext:ExecuteTasks ().  
0.399473,Log,WebsocketGameMonitor PosRot Broadcasting halted. Trying again in 4 seconds.,UnityEngine.Debug:Log (object).  WebsocketGameMonitor/<BroadcastUserPosAndRot>d__24:MoveNext () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:280).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  WebsocketGameMonitor:StartMessagingCoroutines () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:162).  WebSocketGameClient:set_WsConnectionStatus (bool) (at Assets/alreylz/Networking/WebSocketGameClient.cs:66).  WebSocketGameClient/<ConnectAndListen>d__29:MoveNext () (at Assets/alreylz/Networking/WebSocketGameClient.cs:148).  System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1<bool>:SetResult (bool).  WebSocketGameClient/<ConnectToWebSocketServerAndConfigure>d__34:MoveNext () (at Assets/alreylz/Networking/WebSocketGameClient.cs:266).  UnityEngine.UnitySynchronizationContext:ExecuteTasks ().  
0.9621525,Warning,OvrLipSync Awake: Queried SampleRate: 48000 BufferSize: 1024,UnityEngine.Debug:LogWarning (object).  OVRLipSync:Initialize () (at Assets/Oculus/LipSync/Scripts/OVRLipSync.cs:265).  OVRLipSync:CreateContext (uint&OVRLipSync/ContextProvidersintbool) (at Assets/Oculus/LipSync/Scripts/OVRLipSync.cs:309).  OVRLipSyncContextBase:Awake () (at Assets/Oculus/LipSync/Scripts/OVRLipSyncContextBase.cs:113).  UnityEngine.GameObject:AddComponent<OVRLipSyncContext> ().  OvrAvatar:ConfigureHelpers () (at Assets/Oculus/Avatar/Scripts/OvrAvatar.cs:1183).  OvrAvatar:InitPostLoad () (at Assets/Oculus/Avatar/Scripts/OvrAvatar.cs:1029).  OvrAvatar:Update () (at Assets/Oculus/Avatar/Scripts/OvrAvatar.cs:677).  
2.400161,Warning,Couldn't parse the incoming message into a websocket base message.,UnityEngine.Debug:LogWarning (object).  WebSocketMessageProcesser/<InputMessageProcessing>d__14:MoveNext () (at Assets/alreylz/Networking/WebSocketMessageProcesser.cs:87).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
2.400161,Log,[WebSocketMessageProcesser] Processed an incoming WS message.,UnityEngine.Debug:Log (object).  WebSocketMessageProcesser/<InputMessageProcessing>d__14:MoveNext () (at Assets/alreylz/Networking/WebSocketMessageProcesser.cs:90).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
3.00231,Log,EJECUTANDO ASIGNACION RIGHT HAND,UnityEngine.Debug:Log (object).  AddBracerUntracked/<Start>d__3:MoveNext () (at Assets/AddBracerUntracked.cs:30).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
3.401598,Log,{"Data":{"CurrentSceneName":"Experiment2""AntilatencyDevices":"[]"}"Options":{}"MessageType":1"OpCode":"GeneralStatus"},UnityEngine.Debug:Log (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:524).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
5.402359,Log,{"Data":{"ActiveGraph":"None"}"Options":{}"MessageType":1"OpCode":"VisualizationInfo"},UnityEngine.Debug:Log (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:524).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
6.402798,Log,{"Data":{"CurrentSceneName":"Experiment2""AntilatencyDevices":"[]"}"Options":{}"MessageType":1"OpCode":"GeneralStatus"},UnityEngine.Debug:Log (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:524).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
8.402137,Warning,Couldn't generate an appropiate WS Message from UserPerformanceMessageGen. The required scripts used to obtain data may be unavailable.,UnityEngine.Debug:LogWarning (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:509).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
9.402862,Log,{"Data":{"CurrentSceneName":"Experiment2""AntilatencyDevices":"[]"}"Options":{}"MessageType":1"OpCode":"GeneralStatus"},UnityEngine.Debug:Log (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:524).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
10.40278,Log,{"Data":{"ActiveGraph":"None"}"Options":{}"MessageType":1"OpCode":"VisualizationInfo"},UnityEngine.Debug:Log (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:524).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
10.40673,Log,WebsocketGameMonitor User View Broadcasting halted. Trying again in 4 seconds.,UnityEngine.Debug:Log (object).  WebsocketGameMonitor/<BroadcastUserGameView>d__25:MoveNext () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:341).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
10.40673,Log,WebsocketGameMonitor PosRot Broadcasting halted. Trying again in 4 seconds.,UnityEngine.Debug:Log (object).  WebsocketGameMonitor/<BroadcastUserPosAndRot>d__24:MoveNext () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:280).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
12.40437,Log,{"Data":{"CurrentSceneName":"Experiment2""AntilatencyDevices":"[]"}"Options":{}"MessageType":1"OpCode":"GeneralStatus"},UnityEngine.Debug:Log (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:524).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
15.40363,Log,{"Data":{"ActiveGraph":"None"}"Options":{}"MessageType":1"OpCode":"VisualizationInfo"},UnityEngine.Debug:Log (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:524).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
15.40739,Log,{"Data":{"CurrentSceneName":"Experiment2""AntilatencyDevices":"[]"}"Options":{}"MessageType":1"OpCode":"GeneralStatus"},UnityEngine.Debug:Log (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:524).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
16.40432,Warning,Couldn't generate an appropiate WS Message from UserPerformanceMessageGen. The required scripts used to obtain data may be unavailable.,UnityEngine.Debug:LogWarning (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:509).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
18.40764,Log,{"Data":{"CurrentSceneName":"Experiment2""AntilatencyDevices":"[]"}"Options":{}"MessageType":1"OpCode":"GeneralStatus"},UnityEngine.Debug:Log (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:524).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
20.40523,Log,{"Data":{"ActiveGraph":"None"}"Options":{}"MessageType":1"OpCode":"VisualizationInfo"},UnityEngine.Debug:Log (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:524).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
20.40932,Log,WebsocketGameMonitor User View Broadcasting halted. Trying again in 4 seconds.,UnityEngine.Debug:Log (object).  WebsocketGameMonitor/<BroadcastUserGameView>d__25:MoveNext () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:341).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
20.40932,Log,WebsocketGameMonitor PosRot Broadcasting halted. Trying again in 4 seconds.,UnityEngine.Debug:Log (object).  WebsocketGameMonitor/<BroadcastUserPosAndRot>d__24:MoveNext () (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:280).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
21.40947,Log,{"Data":{"CurrentSceneName":"Experiment2""AntilatencyDevices":"[]"}"Options":{}"MessageType":1"OpCode":"GeneralStatus"},UnityEngine.Debug:Log (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:524).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
24.40508,Warning,Couldn't generate an appropiate WS Message from UserPerformanceMessageGen. The required scripts used to obtain data may be unavailable.,UnityEngine.Debug:LogWarning (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:509).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
24.41236,Log,{"Data":{"CurrentSceneName":"Experiment2""AntilatencyDevices":"[]"}"Options":{}"MessageType":1"OpCode":"GeneralStatus"},UnityEngine.Debug:Log (object).  WebsocketGameMonitor:GenerateWebsocketMessageFromGeneratorFunction (WSMessageTypestringSystem.Reflection.MethodInfo) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:524).  WebsocketGameMonitor:TrySendWebsocketMessageBuiltFromGenerator (object[]) (at Assets/alreylz/Networking/MessageTypes/WebsocketGameMonitor.cs:476).  coredamnwork.Executer/<Repeating>d__10:MoveNext () (at Assets/alreylz/Utils/Utils.cs:383).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
